,Water_(g),Lipid_Tot_(g),Carbohydrt_(g),A,0,1
0,15.87,81.11,0.06,A,BUTTER,"['WITH', 'SALT']"
1,15.87,81.11,0.06,A,BUTTER,"['WHIPPED', 'WITH', 'SALT']"
2,0.24,99.48,0.0,A,BUTTER,"['OIL', 'ANHYDROUS']"
3,42.41,28.74,2.34,A,CHEESE,['BLUE']
4,41.11,29.68,2.79,A,CHEESE,['BRICK']
5,48.42,27.68,0.45,A,CHEESE,['BRIE']
6,51.8,24.26,0.46,A,CHEESE,['CAMEMBERT']
7,39.28,29.2,3.06,A,CHEESE,['CARAWAY']
8,37.1,33.82,1.33,A,CHEESE,['CHEDDAR']
9,37.65,30.6,4.78,A,CHEESE,['CHESHIRE']
10,38.2,32.11,2.57,A,CHEESE,['COLBY']
11,79.79,4.3,3.38,A,CHEESE,"['COTTAGE', 'CRMD', 'LRG', 'OR', 'SML', 'CURD']"
12,79.64,3.85,4.61,A,CHEESE,"['COTTAGE', 'CRMD', 'W/FRUIT']"
13,81.01,0.29,6.66,A,CHEESE,"['COTTAGE', 'NONFAT', 'UNCRMD', 'DRY', 'LRG', 'OR', 'SML', 'CURD']"
14,81.24,2.27,4.76,A,CHEESE,"['COTTAGE', 'LOWFAT', '2%', 'MILKFAT']"
15,82.48,1.02,2.72,A,CHEESE,"['COTTAGE', 'LOWFAT', '1%', 'MILKFAT']"
16,54.44,34.24,4.07,A,CHEESE,['CREAM']
17,41.56,27.8,1.43,A,CHEESE,['EDAM']
18,55.22,21.28,4.09,A,CHEESE,['FETA']
19,37.92,31.14,1.55,A,CHEESE,['FONTINA']
20,13.44,29.51,42.65,A,CHEESE,['GJETOST']
21,41.46,27.44,2.22,A,CHEESE,['GOUDA']
22,33.19,32.34,0.36,A,CHEESE,['GRUYERE']
23,48.42,27.25,0.49,A,CHEESE,['LIMBURGER']
24,41.01,30.28,0.68,A,CHEESE,['MONTEREY']
25,50.01,22.35,2.19,A,CHEESE,"['MOZZARELLA', 'WHL', 'MILK']"
26,48.38,24.64,2.47,A,CHEESE,"['MOZZARELLA', 'WHL', 'MILK', 'LO', 'MOIST']"
27,53.78,15.92,2.77,A,CHEESE,"['MOZZARELLA', 'PART', 'SKIM', 'MILK']"
28,45.54,19.72,6.36,A,CHEESE,"['MOZZARELLA', 'LO', 'MOIST', 'PART-SKIM']"
29,41.77,30.04,1.12,A,CHEESE,['MUENSTER']
30,63.11,22.78,3.59,A,CHEESE,['NEUFCHATEL']
31,22.65,27.84,13.91,A,CHEESE,"['PARMESAN', 'GRATED']"
32,29.16,25.83,3.22,A,CHEESE,"['PARMESAN', 'HARD']"
33,45.45,28.2,0.57,A,CHEESE,"['PORT', 'DE', 'SALUT']"
34,40.95,26.62,2.14,A,CHEESE,['PROVOLONE']
35,71.7,12.98,3.04,A,CHEESE,"['RICOTTA', 'WHOLE', 'MILK']"
36,74.41,7.91,5.14,A,CHEESE,"['RICOTTA', 'PART', 'SKIM', 'MILK']"
37,30.91,26.94,3.63,A,CHEESE,['ROMANO']
38,39.38,30.64,2.0,A,CHEESE,['ROQUEFORT']
39,37.12,27.8,5.38,A,CHEESE,['SWISS']
40,42.86,25.98,1.88,A,CHEESE,['TILSIT']
